 < 15:40:05 >  38,3969917297363 40 
 < 15:40:06 >  38,3969917297363 40 
 < 15:40:07 >  38,4259262084961 40 
 < 15:40:08 >  38,4259262084961 40 
 < 15:40:09 >  38,4548606872559 40 
 < 15:40:10 >  38,4837951660156 40 
 < 15:40:11 >  38,4837951660156 40 
 < 15:40:12 >  38,5127296447754 40 
 < 15:40:13 >  38,5127296447754 40 
 < 15:40:14 >  38,5416641235352 40 
 < 15:40:15 >  38,5416641235352 40 
 < 15:40:16 >  38,5706024169922 40 
 < 15:40:17 >  38,5706024169922 40 
 < 15:40:18 >  38,599536895752 40 
 < 15:40:19 >  38,599536895752 40 
 < 15:40:20 >  38,6284713745117 40 
 < 15:40:21 >  38,6284713745117 40 
 < 15:40:22 >  38,6284713745117 40 
 < 15:40:23 >  38,6574058532715 40 
 < 15:40:24 >  38,6574058532715 40 
 < 15:40:25 >  38,6863403320313 40 
 < 15:40:26 >  38,6863403320313 40 
 < 15:40:27 >  38,7152786254883 40 
 < 15:40:28 >  38,7152786254883 40 
 < 15:40:29 >  38,744213104248 40 
 < 15:40:30 >  38,744213104248 40 
 < 15:40:31 >  38,7731475830078 40 
 < 15:40:32 >  38,7731475830078 40 
 < 15:40:33 >  38,7731475830078 40 
 < 15:40:34 >  38,8020820617676 40 
 < 15:40:35 >  38,8020820617676 40 
 < 15:40:36 >  38,8020820617676 40 
 < 15:40:37 >  38,8310165405273 40 
 < 15:40:38 >  38,8310165405273 40 
 < 15:40:39 >  38,8599548339844 40 
 < 15:40:40 >  38,8599548339844 40 
 < 15:40:41 >  38,8599548339844 40 
 < 15:40:42 >  38,8888893127441 40 
 < 15:40:43 >  38,8888893127441 40 
 < 15:40:44 >  38,9178237915039 40 
 < 15:40:45 >  38,9178237915039 40 
 < 15:40:46 >  38,9467582702637 40 
 < 15:40:47 >  38,9467582702637 40 
 < 15:40:48 >  38,9756927490234 40 
 < 15:40:49 >  38,9756927490234 40 
 < 15:40:50 >  39,0046272277832 40 
 < 15:40:51 >  39,0046272277832 40 
 < 15:40:52 >  39,0046272277832 40 
 < 15:40:53 >  39,0046272277832 40 
 < 15:40:54 >  39,0335655212402 40 
 < 15:40:55 >  39,0625 40 
 < 15:40:56 >  39,0625 40 
 < 15:40:57 >  39,0625 40 
 < 15:40:58 >  39,0914344787598 40 
 < 15:40:59 >  39,0914344787598 40 
 < 15:41:00 >  39,1203689575195 40 
 < 15:41:01 >  39,1203689575195 40 
 < 15:41:02 >  39,1493034362793 40 
 < 15:41:03 >  39,1493034362793 40 
 < 15:41:04 >  39,1782417297363 40 
 < 15:41:05 >  39,1782417297363 40 
 < 15:41:06 >  39,2071762084961 40 
 < 15:41:07 >  39,2071762084961 40 
 < 15:41:08 >  39,2361106872559 40 
 < 15:41:09 >  39,2361106872559 40 
 < 15:41:10 >  39,2361106872559 40 
 < 15:41:11 >  39,2650451660156 40 
 < 15:41:12 >  39,2650451660156 40 
